공휴일후,종류,식사가능인원,출장자수,월,공휴일전,연차쓰기좋은날,일,야근수,휴가자수,석식계,반찬1,요일,재택근무자수,국,정원수,메인메뉴범주_조림,메인메뉴범주_찜,메인메뉴범주_샐러드,메인메뉴범주_국물,메인메뉴범주_튀김,메인메뉴범주_볶음,연,메인메뉴범주_구이
0,한식,2401.0,150,2,0,0,1,238,50,331,2,1,0,3,2601,0,0,0,0,0,0,2016,1
0,중식,2378.0,173,2,0,0,2,319,50,560,6,2,0,5,2601,1,0,0,0,0,0,2016,0
0,한식,2365.0,180,2,0,0,3,111,56,573,2,3,0,4,2601,0,0,0,0,0,0,2016,1
0,양식,2277.0,220,2,0,0,4,355,104,525,3,4,0,2,2601,0,0,1,0,0,0,2016,0
0,한식,2142.0,181,2,1,1,5,34,278,330,5,5,0,3,2601,0,0,0,0,0,1,2016,0
1,일식,2075.0,143,2,0,1,11,417,383,550,3,4,0,4,2601,0,0,0,0,1,0,2016,0
0,한식,2056.0,156,2,0,0,12,93,389,598,1,5,0,4,2601,0,0,0,0,0,0,2016,1
0,한식,2310.0,204,2,0,0,15,482,87,672,7,1,0,5,2601,0,1,0,0,0,0,2016,0
0,한식,2293.0,236,2,0,0,16,526,72,523,8,2,0,4,2601,0,0,0,0,0,1,2016,0
0,중식,2273.0,250,2,0,0,17,23,78,588,2,3,0,4,2601,0,0,0,0,0,0,2016,1
0,한식,2270.0,254,2,0,0,18,367,77,489,2,4,0,4,2601,1,0,0,0,0,0,2016,0
0,한식,2204.0,252,2,0,0,19,69,145,597,3,5,0,3,2601,0,0,0,0,0,0,2016,1
0,한식,2304.0,207,2,0,0,22,434,90,645,4,1,0,4,2601,1,0,0,0,0,0,2016,0
0,일식,2307.0,237,2,0,0,23,488,57,610,2,2,0,4,2601,0,0,0,0,1,0,2016,0
0,한식,2315.0,232,2,0,0,24,14,54,514,7,3,0,4,2601,0,1,0,0,0,0,2016,0
0,일식,2284.0,261,2,0,0,25,335,56,531,3,4,0,2,2601,0,0,0,0,1,0,2016,0
0,한식,2179.0,278,2,0,0,26,42,144,585,2,5,0,3,2601,0,0,0,0,0,0,2016,1
0,한식,1838.0,168,2,1,1,29,110,595,344,2,1,0,4,2601,0,0,0,0,0,0,2016,1
1,한식,2315.0,182,3,0,0,2,261,127,631,8,3,0,4,2624,0,0,0,0,0,1,2016,0
0,일식,2339.0,224,3,0,0,3,351,61,473,4,4,0,2,2624,0,0,0,0,0,1,2016,0
0,한식,2294.0,247,3,0,0,4,79,83,673,1,5,0,5,2624,1,0,0,0,0,0,2016,0
0,한식,2379.0,195,3,0,0,7,456,50,625,7,1,0,5,2624,0,0,0,0,0,1,2016,0
0,일식,2365.0,212,3,0,0,8,426,47,609,1,2,0,4,2624,0,0,0,0,1,0,2016,0
0,일식,2356.0,225,3,0,0,9,0,43,523,2,3,0,3,2624,0,0,0,0,1,0,2016,0
0,중식,2324.0,245,3,0,0,10,290,55,525,3,4,0,5,2624,0,1,0,0,0,0,2016,0
0,한식,2241.0,275,3,0,0,11,76,108,591,2,5,0,4,2624,1,0,0,0,0,0,2016,0
0,한식,2380.0,183,3,0,0,14,376,61,586,5,1,0,4,2624,0,1,0,0,0,0,2016,0
0,중식,2355.0,231,3,0,0,15,399,38,545,2,2,0,4,2624,0,0,1,0,0,0,2016,0
0,한식,2361.0,213,3,0,0,16,0,50,531,2,3,0,4,2624,0,0,0,0,0,1,2016,0
0,양식,2330.0,242,3,0,0,17,327,52,548,3,4,0,1,2624,0,0,0,0,0,0,2016,1
0,한식,2229.0,277,3,0,0,18,57,118,521,3,5,0,3,2624,0,1,0,0,0,0,2016,0
0,한식,2354.0,205,3,0,0,21,329,65,605,3,1,0,4,2624,0,1,0,0,0,0,2016,0
0,중식,2375.0,208,3,0,0,22,378,41,585,3,2,0,4,2624,0,1,0,0,0,0,2016,0
0,한식,2346.0,236,3,0,0,23,0,42,544,3,3,0,5,2624,0,0,0,0,0,0,2016,1
0,일식,2320.0,251,3,0,0,24,293,53,507,3,4,0,4,2624,0,0,0,0,1,0,2016,0
0,중식,2251.0,275,3,0,0,25,59,98,523,7,5,0,4,2624,0,0,0,1,0,0,2016,0
0,중식,2350.0,197,3,0,0,28,299,77,637,6,1,0,4,2624,1,0,0,0,0,0,2016,0
0,중식,2327.0,245,3,0,0,29,259,52,465,7,2,0,4,2624,0,0,0,0,1,0,2016,0
0,한식,2346.0,230,3,0,0,30,0,48,463,7,3,0,5,2624,0,1,0,0,0,0,2016,0
0,일식,2340.0,248,3,0,0,31,158,36,526,3,4,0,2,2624,0,0,0,0,0,0,2016,1
0,중식,2286.0,254,4,0,0,1,47,103,591,5,5,0,3,2643,0,0,0,0,1,0,2016,0
0,한식,2360.0,221,4,0,0,4,367,62,614,2,1,0,4,2643,1,0,0,0,0,0,2016,0
0,중식,2370.0,242,4,0,0,5,370,31,555,3,2,0,4,2643,0,0,0,0,0,0,2016,1
0,한식,2357.0,249,4,0,0,6,0,37,492,5,3,0,4,2643,0,1,0,0,0,0,2016,0
0,일식,2338.0,258,4,0,0,7,339,47,524,3,4,0,2,2643,0,0,1,0,0,0,2016,0
0,한식,2273.0,283,4,0,0,8,64,87,542,1,5,0,5,2643,0,0,0,0,0,0,2016,1
0,한식,2358.0,203,4,0,0,11,392,82,536,2,1,0,3,2643,0,1,0,0,0,0,2016,0
0,일식,2342.0,225,4,0,0,12,239,76,500,4,2,0,4,2643,0,0,0,0,0,1,2016,0
0,한식,2285.0,252,4,0,0,14,326,106,562,2,4,0,4,2643,0,0,0,0,0,0,2016,1
0,한식,2231.0,281,4,0,0,15,82,131,582,1,5,0,4,2643,0,0,0,0,1,0,2016,0
0,중식,2337.0,225,4,0,0,18,330,81,525,6,1,0,5,2643,1,0,0,0,0,0,2016,0
0,한식,2360.0,239,4,0,0,19,387,44,449,3,2,0,4,2643,0,0,0,0,0,0,2016,1
0,한식,2334.0,262,4,0,0,20,0,47,504,5,3,0,5,2643,0,0,0,1,0,0,2016,0
0,일식,2313.0,264,4,0,0,21,312,66,531,2,4,0,4,2643,0,0,0,0,1,0,2016,0
0,중식,2218.0,275,4,0,0,22,86,150,557,2,5,0,4,2643,0,0,0,1,0,0,2016,0
0,중식,2346.0,201,4,0,0,25,281,96,528,5,1,0,5,2643,0,0,0,0,1,0,2016,0
0,중식,2365.0,227,4,0,0,26,304,51,568,8,2,0,4,2643,0,0,0,0,0,0,2016,1
0,한식,2338.0,234,4,0,0,27,0,71,490,2,3,0,4,2643,1,0,0,0,0,0,2016,0
0,일식,2318.0,269,4,0,0,28,196,56,508,3,4,0,2,2643,0,0,0,1,0,0,2016,0
0,중식,2222.0,282,4,0,0,29,28,139,507,3,5,0,4,2643,0,0,0,0,0,1,2016,0
0,한식,2341.0,214,5,0,0,2,302,80,551,8,1,0,5,2635,0,0,0,0,0,1,2016,0
0,중식,2319.0,251,5,0,0,3,292,65,515,7,2,0,4,2635,0,0,0,1,0,0,2016,0
0,일식,2241.0,244,5,1,1,4,0,150,636,1,3,0,4,2635,0,0,0,0,0,0,2016,1
