휴가자수,공휴일후,식사가능인원,요일넘버,출장자수,월,공휴일전,정원수,연차쓰기좋은날,야근수,종류,일,반찬1,요일,재택근무자수,국,중식계,메인메뉴범주_조림,메인메뉴범주_찜,메인메뉴범주_샐러드,메인메뉴범주_국물,메인메뉴범주_튀김,메인메뉴범주_볶음,메인메뉴범주_구이
50,0,2401.0,0,150,2,0,2601,0,238,한식,1,8,1,0,5,1039,0,0,0,0,0,1,0
50,0,2378.0,1,173,2,0,2601,0,319,한식,2,2,2,0,4,867,0,0,0,0,1,0,0
56,0,2365.0,2,180,2,0,2601,0,111,일식,3,5,3,0,4,1017,0,0,0,0,1,0,0
104,0,2277.0,3,220,2,0,2601,0,355,한식,4,6,4,0,3,978,0,0,0,0,0,1,0
278,0,2142.0,4,181,2,1,2601,1,34,한식,5,7,5,0,4,925,0,0,0,0,1,0,0
383,1,2075.0,3,143,2,0,2601,1,417,한식,11,9,4,0,4,1045,0,0,0,0,0,0,1
389,0,2056.0,4,156,2,0,2601,0,93,한식,12,7,5,0,5,909,0,0,0,0,0,1,0
87,0,2310.0,0,204,2,0,2601,0,482,한식,15,5,1,0,4,1268,1,0,0,0,0,0,0
72,0,2293.0,1,236,2,0,2601,0,526,중식,16,2,2,0,3,1014,0,0,0,1,0,0,0
78,0,2273.0,2,250,2,0,2601,0,23,한식,17,8,3,0,4,916,1,0,0,0,0,0,0
77,0,2270.0,3,254,2,0,2601,0,367,한식,18,3,4,0,4,910,0,0,0,0,0,0,1
145,0,2204.0,4,252,2,0,2601,0,69,한식,19,5,5,0,5,763,0,0,0,0,1,0,0
90,0,2304.0,0,207,2,0,2601,0,434,한식,22,2,1,0,3,1298,0,0,0,0,0,0,1
57,0,2307.0,1,237,2,0,2601,0,488,한식,23,7,2,0,4,899,0,0,0,0,0,1,0
54,0,2315.0,2,232,2,0,2601,0,14,한식,24,3,3,0,4,1022,0,0,0,0,0,1,0
56,0,2284.0,3,261,2,0,2601,0,335,한식,25,5,4,0,5,917,0,0,0,0,0,1,0
144,0,2179.0,4,278,2,0,2601,0,42,한식,26,2,5,0,4,766,0,0,0,0,0,1,0
595,0,1838.0,0,168,2,1,2601,1,110,한식,29,7,1,0,4,869,0,0,0,0,0,1,0
127,1,2315.0,2,182,3,0,2624,0,261,한식,2,6,3,0,3,1127,0,0,0,0,0,1,0
61,0,2339.0,3,224,3,0,2624,0,351,중식,3,7,4,0,4,1000,0,0,0,1,0,0,0
83,0,2294.0,4,247,3,0,2624,0,79,한식,4,2,5,0,4,837,0,0,0,0,1,0,0
50,0,2379.0,0,195,3,0,2624,0,456,한식,7,5,1,0,4,1326,0,0,0,0,0,1,0
47,0,2365.0,1,212,3,0,2624,0,426,한식,8,2,2,0,3,1026,0,1,0,0,0,0,0
43,0,2356.0,2,225,3,0,2624,0,0,한식,9,7,3,0,5,901,1,0,0,0,0,0,0
55,0,2324.0,3,245,3,0,2624,0,290,일식,10,5,4,0,4,847,1,0,0,0,0,0,0
108,0,2241.0,4,275,3,0,2624,0,76,일식,11,1,5,0,4,728,0,0,0,0,1,0,0
61,0,2380.0,0,183,3,0,2624,0,376,한식,14,7,1,0,5,1286,0,0,0,0,0,1,0
38,0,2355.0,1,231,3,0,2624,0,399,한식,15,8,2,0,4,958,0,0,0,0,0,1,0
50,0,2361.0,2,213,3,0,2624,0,0,한식,16,4,3,0,4,998,0,0,0,0,0,0,1
52,0,2330.0,3,242,3,0,2624,0,327,중식,17,2,4,0,3,832,0,0,0,1,0,0,0
118,0,2229.0,4,277,3,0,2624,0,57,한식,18,9,5,0,4,757,0,0,0,0,0,0,1
