"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",2017,2018,2019,2020,2021
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","계",9766399,9697449,9657296,9617795,9501528
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","0 - 4세",364416,337490,315996,289085,258523
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","5 - 9세",366297,355349,348407,346887,335174
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","10 - 14세",371404,365684,355343,352626,352442
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","15 - 19세",508748,476258,453264,424664,384431
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","20 - 24세",702669,692674,684592,669977,647961
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","25 - 29세",769760,792153,813383,829972,836224
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","30 - 34세",777514,744258,730235,736333,733556
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","35 - 39세",806217,804880,790712,757489,718380
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","40 - 44세",767808,732462,705938,706362,709929
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","45 - 49세",844652,847535,827992,799497,752846
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","50 - 54세",767239,749911,767845,769128,780114
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","55 - 59세",792210,794887,775286,752408,718575
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","60 - 64세",635357,662072,690807,706615,727734
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","65 - 69세",455170,462000,475423,509622,545908
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","70 - 74세",345905,354357,369548,386879,398468
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","75 - 79세",258466,276697,282988,290507,288219
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","80세이상",232567,248782,269537,289744,313044
