"시나리오별(1)","시도별(1)","성별(1)","연령별(1)",2022,2023,2024,2025,2026
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","계",9411443,9338274,9271433,9209988,9152114
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","0 - 4세",233066,211978,194295,183670,180529
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","5 - 9세",318943,297627,278318,253815,227795
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","10 - 14세",348179,340206,333699,330207,321088
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","15 - 19세",370749,366544,358042,354120,356122
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","20 - 24세",622296,582082,549230,510834,473656
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","25 - 29세",828096,821062,809160,798061,779884
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","30 - 34세",747121,771655,789270,803536,816876
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","35 - 39세",680265,653112,641011,641484,644307
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","40 - 44세",717872,718096,707474,675415,645913
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","45 - 49세",713762,681668,658255,660180,669710
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","50 - 54세",788489,789573,770880,746797,709052
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","55 - 59세",705634,688409,706586,710406,725980
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","60 - 64세",720702,724409,706853,688379,663254
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","65 - 69세",569069,596521,624928,640570,665938
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","70 - 74세",404451,413664,427086,459553,495165
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","75 - 79세",298961,308695,323112,339304,350252
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","80세이상",343788,372973,393234,413657,426593
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","80 - 84세",206226,222534,228179,234620,232673
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","85 - 89세",96524,105260,115097,123159,131587
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","90 - 94세",32622,35641,39118,43882,49259
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","95 - 99세",7323,8190,9431,10535,11477
"중위 추계(기본 추계: 출산율-중위 / 기대수명-중위 / 국제이동-중위 / 국내이동-중위)","서울특별시","계","100세 이상",1093,1348,1409,1461,1597
