"도시별","지출목적별",2017,2018,2019,2020,2021,2022
"서울특별시","0 총지수",97.494,98.799,99.382,100.00,102.10,106.69
"서울특별시","01 식료품 및 비주류음료",93.614,95.878,95.330,100.00,105.39,111.50
"서울특별시","02 주류 및 담배",98.483,98.722,99.493,100.00,100.67,102.87
"서울특별시","03 의류 및 신발",97.476,98.508,99.076,100.00,100.66,103.80
"서울특별시","04 주택, 수도, 전기 및 연료",97.528,98.215,99.355,100.00,101.48,105.62
"서울특별시","05 가정용품 및 가사 서비스",94.070,97.105,99.793,100.00,101.75,106.41
"서울특별시","06 보건",97.786,97.844,98.453,100.00,99.78,100.59
"서울특별시","07 교통",100.507,102.201,101.522,100.00,104.64,112.55
"서울특별시","08 통신",105.429,104.518,102.123,100.00,99.19,100.08
"서울특별시","09 오락 및 문화",101.441,101.840,101.382,100.00,100.42,103.41
"서울특별시","10 교육",99.842,101.295,101.923,100.00,101.09,102.81
"서울특별시","11 음식 및 숙박",93.944,96.969,99.064,100.00,102.73,110.39
"서울특별시","12 기타 상품 및 서비스",96.333,96.615,98.159,100.00,101.64,108.06
