"도시별","지출목적별",1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"서울특별시","0 총지수",29.336,30.116,31.123,33.255,35.110,38.225,41.948,44.319,46.517,49.323,51.234,53.403,55.653,59.803,60.298,61.828,64.512,66.640,69.180,71.874,73.755,75.279,77.252,80.466,82.838,85.162,88.412,90.605,91.869,93.300,94.470,95.585,97.494,98.799,99.382,100.00,102.10,106.69
"서울특별시","01 식료품 및 비주류음료",21.291,21.712,22.590,24.878,26.478,29.028,32.154,33.370,34.618,37.794,37.861,37.931,39.432,44.440,47.233,48.097,50.446,52.682,55.344,60.378,62.877,63.087,64.627,67.498,72.648,76.649,82.635,85.688,85.903,86.106,88.038,89.857,93.614,95.878,95.330,100.00,105.39,111.50
"서울특별시","02 주류 및 담배",23.144,23.877,24.172,24.587,25.682,26.860,27.682,28.872,30.562,33.741,34.252,37.548,40.185,42.209,45.100,45.637,48.041,51.574,53.095,53.479,61.579,61.528,61.728,62.051,62.697,62.954,63.327,64.176,65.183,64.989,96.145,97.095,98.483,98.722,99.493,100.00,100.67,102.87
"서울특별시","03 의류 및 신발",34.316,35.100,36.201,38.897,43.598,47.635,50.370,53.352,54.729,55.726,56.270,56.800,57.615,59.847,61.240,62.193,63.918,65.841,68.266,68.613,69.272,71.107,72.977,74.784,78.548,80.828,83.462,87.294,89.771,93.402,94.916,96.573,97.476,98.508,99.076,100.00,100.66,103.80
"서울특별시","04 주택, 수도, 전기 및 연료",29.316,30.107,30.840,31.944,33.446,36.458,40.809,43.506,46.010,47.951,50.327,52.499,54.949,58.539,56.433,58.025,61.999,64.942,68.021,70.347,71.314,73.097,74.880,77.643,79.515,81.411,84.945,89.037,92.441,95.463,95.737,95.486,97.528,98.215,99.355,100.00,101.48,105.62
"서울특별시","05 가정용품 및 가사 서비스",44.371,45.506,47.132,49.939,53.271,57.057,60.139,61.698,62.701,65.325,65.777,67.263,67.877,71.632,70.683,68.830,70.017,70.184,71.590,72.742,73.064,73.205,75.159,78.123,81.801,81.727,84.369,88.347,88.323,89.479,91.507,92.995,94.070,97.105,99.793,100.00,101.75,106.41
"서울특별시","06 보건",36.381,37.827,39.128,41.826,42.992,46.185,49.114,50.542,51.958,53.532,56.401,59.065,61.594,64.493,65.907,70.959,79.167,78.522,80.177,81.129,82.965,84.437,86.304,88.046,89.947,91.259,92.788,93.785,94.313,94.945,95.959,96.900,97.786,97.844,98.453,100.00,99.78,100.59
"서울특별시","07 교통",26.111,26.583,27.214,28.569,29.196,29.865,33.424,36.336,39.238,41.860,44.235,47.782,52.921,61.931,63.535,66.703,69.544,70.516,73.551,76.563,80.192,83.380,86.815,93.759,90.918,95.015,100.495,104.921,104.687,103.445,98.352,97.919,100.507,102.201,101.522,100.00,104.64,112.55
"서울특별시","08 통신",153.917,163.305,166.383,166.293,148.325,160.447,154.218,153.830,152.534,148.430,144.642,144.461,141.087,140.786,140.123,136.894,132.536,126.535,119.976,118.059,115.856,114.620,112.467,110.903,110.739,109.733,107.968,105.181,105.095,105.096,104.999,105.091,105.429,104.518,102.123,100.00,99.19,100.08
"서울특별시","09 오락 및 문화",65.720,66.996,68.299,70.600,72.260,75.332,77.932,79.632,83.230,85.521,88.956,92.143,92.469,95.286,95.360,94.433,94.551,95.488,96.046,95.944,96.243,94.133,92.617,94.158,96.155,96.901,98.887,99.031,100.041,100.362,99.421,101.361,101.441,101.840,101.382,100.00,100.42,103.41
"서울특별시","10 교육",18.301,18.951,20.055,22.049,23.871,27.274,30.372,33.084,36.230,39.597,44.953,49.225,51.783,53.173,53.716,56.362,59.171,62.721,66.596,70.668,73.722,77.254,81.714,85.694,87.445,89.441,91.184,92.197,93.028,94.891,96.884,98.509,99.842,101.295,101.923,100.00,101.09,102.81
"서울특별시","11 음식 및 숙박",21.566,22.490,23.350,25.505,28.838,33.181,40.219,44.408,47.233,51.286,54.127,56.897,58.404,60.786,59.893,60.467,61.479,63.414,65.767,68.256,69.586,70.861,72.207,75.083,77.878,80.321,83.894,84.717,85.790,86.834,89.255,91.690,93.944,96.969,99.064,100.00,102.73,110.39
"서울특별시","12 기타 상품 및 서비스",34.769,36.166,37.096,37.406,37.519,38.930,40.682,43.073,44.808,46.399,47.661,50.520,52.403,57.141,55.898,57.102,58.629,60.718,62.555,63.516,64.611,67.410,70.802,76.940,82.754,85.674,88.172,85.615,85.782,89.024,91.123,94.056,96.333,96.615,98.159,100.00,101.64,108.06
